time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-4.48253107617e-07,5.6219273542e-08,10.0037615503,6.43215499245e-05,0.000379764598819,0.0,-3.74755811041e-05,5.3621783962e-06,0.125378716384,0.00313438137324,0.0166723191058,0.0,443.9962815218464,445.3617013913923,444.95097037400086,445.2074286726819
0.12000000000000001,-1.49975509331e-05,2.45677182572e-06,10.0155700554,5.27639268473e-05,0.00116462965818,0.0,-0.000545500913897,8.53073977588e-05,0.268214572419,-0.00785327456531,0.00470537578667,0.0,451.22529478675284,450.2582447723635,450.33186863279496,449.44237940561123
0.18,-7.83146519637e-05,6.66557452389e-06,10.0391428189,6.28241501783,0.00106517369912,0.0,-0.00158218931072,-2.05829095937e-05,0.517464321319,-0.029266743172,-0.019111466387,0.0,483.092229549351,481.2933478141143,482.7005120091934,481.08219969304264
0.23999999999999996,-0.000192227595413,-1.90126359642e-05,10.0747843889,6.28055691607,6.28310834167,0.0,-0.00208911640617,-0.0010335363513,0.67051002409,-0.034608758783,-0.018884468806,0.0,453.82684603926106,453.84511847196956,453.8210082508722,453.3917711384369
0.3,-0.000310456057975,-0.000154506317723,10.1218319207,6.27869711891,6.28181121242,0.0,-0.00170586103445,-0.00371925011906,0.897589471563,-0.0246071523309,-0.0277405290283,0.0,475.457805569226,474.77893339586075,476.51346295191365,477.2770319601015
0.36000000000000004,-0.000374626564942,-0.000485459800768,10.1806675092,6.27721386977,6.27995712063,0.0,-0.000237794485635,-0.00747723823334,1.06345576724,-0.0249490986473,-0.038120043938,0.0,457.43769173541426,456.6101876183592,459.2959388050564,459.26875072993033
0.4200000000000001,-0.000299675748159,-0.00108741519587,10.2513435378,6.27563413549,6.27794437053,0.0,0.0029940194578,-0.0127725266092,1.29217942742,-0.0292416742125,-0.0256872435331,0.0,476.28341028537267,477.2328298736445,477.67731947567796,477.34980704345367
0.48000000000000015,6.38660149766e-06,-0.00203322309766,10.3340967574,6.27442186252,6.27600245928,0.0,0.00739751169988,-0.0189154101368,1.46605198497,-0.00645769851524,-0.0510987080317,0.0,461.3023192840152,459.29103588165816,461.59593169313297,463.39022443689055
0.5400000000000001,0.000613003286027,-0.00335385024119,10.4254157064,6.27398517306,6.27305474431,0.0,0.0131335268313,-0.0251468683242,1.5777622609,-0.00897179408673,-0.0454550603162,0.0,442.5250194017807,442.9877781890051,442.822220684793,442.6154914509339
0.6000000000000002,0.0015995165574,-0.00503616305959,10.5210900901,6.2729958258,6.27038585748,0.0,0.0199983728022,-0.0309932212771,1.61133347976,-0.0390726805353,-0.0426026112283,0.0,417.34668604306336,417.59428776644387,419.48197106804366,416.86003826340215
0.6600000000000003,0.00307991475865,-0.00711954796807,10.6212362687,6.27115814492,6.26764773848,0.0,0.0296211754837,-0.0386651562036,1.72669878998,-0.0175880212793,-0.0525179086577,0.0,444.38975832142853,443.5750694785296,443.7888527440922,445.54830465155953
0.7200000000000003,0.00519800029956,-0.00969792539792,10.7283321893,6.27020180692,6.26471736973,0.0,0.0412953304379,-0.0473833365894,1.84297789389,-0.012829696958,-0.0423470206018,0.0,444.8123831200411,445.64296344215904,444.5568519174022,444.9466391714466
0.7800000000000004,0.00810610172106,-0.0128391274122,10.8439689716,6.26944419287,6.26200650772,0.0,0.0559296001011,-0.0574052938561,2.01129325585,-0.0122243692467,-0.0515534821162,0.0,461.86657334748816,461.1388268292604,461.21227002130456,461.26019995004026
0.8400000000000004,0.0119132913474,-0.0165713561323,10.9677350267,6.26829790409,6.25857174476,0.0,0.071303267964,-0.067089981698,2.11404787298,-0.0387095610214,-0.0721658819179,0.0,442.06857935170484,440.3644742062302,443.42951158306835,441.24850950899565
0.9000000000000005,0.0167604407599,-0.0209390756052,11.0992960524,6.26637510399,6.25406475962,0.0,0.090747747264,-0.0787275092973,2.27100336017,-0.0212604531815,-0.0817848250404,0.0,459.22880174187026,458.46093414475405,458.3844521185145,459.7685296008344
0.9600000000000005,0.0227888250076,-0.0259938453724,11.2373270686,6.26462239764,6.24869332702,0.0,0.110679770905,-0.0898992196258,2.3298929293,-0.0540935324364,-0.113222895131,0.0,429.6079889461288,426.92646155836536,430.8597576242852,428.0744798788302
1.0200000000000005,0.0302778651526,-0.0318424812591,11.3831771255,6.26108960365,6.24152528431,0.0,0.139751036928,-0.10544032829,2.53131081766,-0.0707635467215,-0.136428759062,0.0,474.2530334091788,472.45503457015434,473.7327050330968,472.4469145867645
1.0800000000000005,0.0395606980561,-0.0386440894033,11.5381741807,6.25719091617,6.23332956428,0.0,0.170506336259,-0.121689155399,2.63497250199,-0.0553835361141,-0.13693020222,0.0,444.01568664930323,443.95726683768777,444.3871647348541,445.6428722242556
1.1400000000000006,0.0509647001447,-0.0465519727765,11.7014353514,6.25452992022,6.22529460134,0.0,0.210520020896,-0.142224825049,2.80659717611,-0.0283696803708,-0.12848787752,0.0,465.39667951076837,466.04130836215904,465.11957589536553,467.2291724873063
1.2000000000000006,0.0649575807118,-0.0557497987654,11.8751012358,6.25304899628,6.2179167685,0.0,0.256733722082,-0.16453418108,2.98175941116,-0.0181739658745,-0.113738618099,0.0,467.2698097728341,468.4051788468037,467.7124284580514,468.50574650398164
1.2600000000000007,0.08171199077,-0.0662368744395,12.0566077781,6.25155626441,6.21082925335,0.0,0.302423981055,-0.185150432317,3.06816885444,-0.0437278601342,-0.128772253194,0.0,443.15815813907057,441.90789544591223,442.03245785389163,439.9213440624073
